Date,Open,High,Low,Close,Adj Close,Volume
2018-01-12,63.200001,63.400002,62.049999,62.549999,60.774475,25886100
2018-01-16,62.790001,63.150002,62.180000,62.500000,60.725895,17907800
2018-01-17,62.849998,64.040001,62.490002,63.880001,62.066723,23617200
2018-01-18,63.869999,64.309998,63.860001,63.950001,62.134739,16305900
2018-01-19,64.150002,64.260002,63.830002,64.220001,62.397076,16524000
2018-01-22,64.000000,64.750000,63.970001,64.730003,62.892593,12245200
2018-01-23,64.309998,64.849998,64.220001,64.489998,62.659409,12937100
2018-01-24,64.949997,65.629997,64.800003,65.480003,63.621315,20180300
2018-01-25,65.699997,65.849998,65.400002,65.650002,63.786484,17568700
2018-01-26,65.889999,66.040001,65.250000,65.930000,64.058533,16251900
2018-01-29,65.779999,66.309998,65.660004,65.820000,63.951656,16105200
2018-01-30,65.430000,65.930000,65.279999,65.279999,63.426983,16158900
2018-01-31,65.269997,66.099998,65.160004,65.779999,63.912796,18147900
2018-02-01,65.370003,66.089996,65.059998,65.510002,64.030083,15717600
2018-02-02,65.330002,65.529999,63.830002,64.070000,62.622612,18905300
2018-02-05,58.700001,59.889999,57.500000,58.160000,56.846123,103394400
2018-02-06,56.910000,58.500000,55.869999,57.279999,55.986004,83076900
2018-02-07,56.939999,58.119999,56.750000,57.540001,56.240131,45551000
2018-02-08,57.330002,57.439999,55.349998,55.400002,54.148476,43569700
2018-02-09,56.139999,56.540001,54.720001,56.130001,54.861984,48904600
2018-02-12,56.360001,57.119999,55.880001,56.500000,55.223625,24401300
2018-02-13,56.060001,58.090000,55.950001,58.000000,56.689743,24234200
2018-02-14,57.849998,59.599998,57.799999,59.549999,58.204723,23681800
2018-02-15,59.820000,60.099998,59.150002,60.020000,58.664108,22397300
2018-02-16,59.669998,60.430000,59.669998,59.950001,58.595688,18661900
2018-02-20,59.860001,61.270000,59.779999,59.950001,58.595688,18517600
2018-02-21,59.860001,60.490002,59.730000,59.730000,58.380657,19987800
2018-02-22,59.880001,60.169998,58.680000,58.810001,57.481441,17948600
2018-02-23,59.070000,59.240002,58.349998,59.169998,57.833305,21099200
2018-02-26,59.750000,60.000000,58.950001,59.970001,58.615234,16478300
2018-02-27,60.029999,60.480000,59.209999,59.209999,57.872402,17024400
2018-02-28,59.470001,59.820000,58.320000,58.410000,57.090477,17869100
2018-03-01,58.250000,58.939999,57.060001,57.310001,56.015327,28491000
2018-03-02,56.919998,57.619999,56.419998,57.410000,56.113068,22428500
2018-03-05,56.810001,57.970001,56.590000,57.590000,56.289001,20560900
2018-03-06,57.709999,57.869999,56.639999,57.070000,55.780746,23975900
2018-03-07,56.400002,56.740002,56.009998,56.599998,55.321365,24788700
2018-03-08,56.750000,57.020000,56.230000,56.720001,55.438656,16828400
2018-03-09,57.160000,58.270000,57.000000,58.230000,56.914543,19051500
2018-03-12,58.270000,58.560001,57.959999,58.020000,56.709286,12414800
2018-03-13,58.389999,58.419998,57.419998,57.560001,56.259682,13810600
2018-03-14,57.860001,57.900002,56.450001,56.630001,55.350685,12212900
2018-03-15,56.770000,57.119999,56.240002,56.830002,55.546169,13277700
2018-03-16,56.990002,57.169998,55.869999,55.900002,54.637180,37095000
2018-03-19,55.880001,55.990002,54.970001,55.480000,54.226665,17982200
2018-03-20,55.770000,55.889999,54.660000,54.900002,53.659771,26874600
2018-03-21,55.020000,55.580002,54.540001,54.790001,53.552258,18997300
2018-03-22,54.209999,54.279999,52.180000,52.529999,51.343307,32656300
2018-03-23,52.720001,52.750000,50.939999,50.980000,49.828323,30975800
2018-03-26,51.950001,52.549999,51.520000,52.290001,51.108734,26718000
2018-03-27,52.400002,52.799999,50.689999,51.099998,49.945614,23669300
2018-03-28,51.160000,51.930000,50.950001,51.480000,50.317032,23342500
2018-03-29,52.060001,52.750000,51.720001,52.410000,51.226021,17706800
2018-04-02,52.369999,52.400002,50.419998,51.349998,50.189964,23359800
